order.csv,,,,
CI. Ord.ID,Instrument,Side,Quantity, Price 
aa13,Rose,2,100,1
aa14,Rose,2,100,2
aa15,Rose,2,100,65
aa16,Rose,2,100,95
aa17,Rose,2,100,1
aa18,Rose,2,100,1
aa19,Rose,2,100,65
aa20,Rose,2,100,1
aa21,Rose,2,100,52
aa22,Rose,1,300,1
aa23,Lotus,2,50,1
aa24,Rose,1,100,45
aa25,Rose,1,300,1
aa26,Rose,1,300,90
aa27,Rose,2,50,40
aa28,Rose,1,100,1
aa29,Lotus,1,300,86
aa30,Rose,2,50,5
aa31,Rose,2,40,1
aa32,Lotus,3,45,45
aa33,Rose,1,300,1
aa34,Rose,2,100,89
aa35,Rose,2,100,56
aa36,Rose,2,100,1
aa37,Rose,2,100,56
aa38,Rose,2,100,95
aa39,Rose,2,100,1
aa40,Rose,2,100,56
aa41,Rose,2,100,1
aa42,Rose,2,100,1
aa43,Rose,1,300,80
aa44,Rose,2,50,1
aa45,Rose,1,100,86
aa46,Rose,1,300,1
aa47,Rose,1,300,50
aa48,Rose,2,50,1
aa49,Rose,1,100,1
aa50,Rose,1,300,53
aa51,Rose,2,50,2
aa52,Rose,2,40,1
aa53,Lotus,3,45,53
aa54,Rose,1,300,1
aa55,Rose,2,100,1
aa56,Rose,2,100,78
aa57,Rose,2,100,1
aa58,Rose,2,100,96
aa59,Rose,2,100,1
aa60,Rose,2,100,52
aa61,Rose,2,100,1
aa62,Lotus,2,100,1
aa63,Rose,2,100,52
aa64,Rose,1,300,100
aa65,Rose,2,50,52
aa66,Rose,1,100,78
aa67,Rose,1,300,65
aa68,Rose,1,300,221
aa69,Rose,2,50,55
aa70,Rose,1,100,70
