execution_rep.csv
Order ID, Client Order, Instrument, Side, Exec Status, Quantity, Price, Reason, Transaction time
ord1,aa13,Rose,2,New,100,1,,20230901-032014.062,
ord2,aa14,Rose,2,New,100,2,,20230901-032014.062,
ord3,aa15,Rose,2,New,100,65,,20230901-032014.062,
ord4,aa16,Rose,2,New,100,95,,20230901-032014.062,
ord5,aa17,Rose,2,New,100,1,,20230901-032014.062,
ord6,aa18,Rose,2,New,100,1,,20230901-032014.062,
ord7,aa19,Rose,2,New,100,65,,20230901-032014.062,
ord8,aa20,Rose,2,New,100,1,,20230901-032014.062,
ord9,aa21,Rose,2,New,100,52,,20230901-032014.062,
ord10,aa22,Rose,1,Pfill,100,1,,20230901-032014.062,
ord1,aa13,Rose,2,Fill,100,1,,20230901-032014.062,
ord10,aa22,Rose,1,Pfill,100,1,,20230901-032014.063,
ord5,aa17,Rose,2,Fill,100,1,,20230901-032014.063,
ord10,aa22,Rose,1,Fill,100,1,,20230901-032014.064,
ord6,aa18,Rose,2,Fill,100,1,,20230901-032014.064,
ord11,aa23,Lotus,2,New,50,1,,20230901-032014.064,
ord12,aa24,Rose,1,Fill,100,45,,20230901-032014.064,
ord8,aa20,Rose,2,Fill,100,45,,20230901-032014.064,
ord13,aa25,Rose,1,New,300,1,,20230901-032014.064,
ord14,aa26,Rose,1,Pfill,100,90,,20230901-032014.064,
ord2,aa14,Rose,2,Fill,100,90,,20230901-032014.064,
ord14,aa26,Rose,1,Pfill,100,90,,20230901-032014.065,
ord9,aa21,Rose,2,Fill,100,90,,20230901-032014.065,
ord14,aa26,Rose,1,Fill,100,90,,20230901-032014.065,
ord3,aa15,Rose,2,Fill,100,90,,20230901-032014.065,
ord15,aa27,Rose,2,New,50,40,,20230901-032014.065,
ord16,aa28,Rose,1,New,100,1,,20230901-032014.065,
ord17,aa29,Lotus,1,Pfill,50,86,,20230901-032014.065,
ord11,aa23,Lotus,2,Fill,50,86,,20230901-032014.065,
ord18,aa30,Rose,2,New,50,5,,20230901-032014.065,
ord19,aa31,Rose,2,Fill,40,1,,20230901-032014.065,
ord13,aa25,Rose,1,Pfill,40,1,,20230901-032014.065,
ord20,aa32,Lotus,3,Rejected,45,45,Invalid order type,20230901-032014.065,
ord21,aa33,Rose,1,New,300,1,,20230901-032014.065,
ord22,aa34,Rose,2,New,100,89,,20230901-032014.066,
ord23,aa35,Rose,2,New,100,56,,20230901-032014.066,
ord24,aa36,Rose,2,Fill,100,1,,20230901-032014.066,
ord13,aa25,Rose,1,Pfill,100,1,,20230901-032014.066,
ord25,aa37,Rose,2,New,100,56,,20230901-032014.066,
ord26,aa38,Rose,2,New,100,95,,20230901-032014.066,
ord27,aa39,Rose,2,Fill,100,1,,20230901-032014.066,
ord13,aa25,Rose,1,Pfill,100,1,,20230901-032014.066,
ord28,aa40,Rose,2,New,100,56,,20230901-032014.066,
ord29,aa41,Rose,2,Pfill,60,1,,20230901-032014.066,
ord13,aa25,Rose,1,Fill,60,1,,20230901-032014.066,
ord29,aa41,Rose,2,Fill,40,1,,20230901-032014.066,
ord16,aa28,Rose,1,Pfill,40,1,,20230901-032014.066,
ord30,aa42,Rose,2,Pfill,60,1,,20230901-032014.066,
ord16,aa28,Rose,1,Fill,60,1,,20230901-032014.066,
ord30,aa42,Rose,2,Fill,40,1,,20230901-032014.066,
ord21,aa33,Rose,1,Pfill,40,1,,20230901-032014.066,
ord31,aa43,Rose,1,Pfill,50,80,,20230901-032014.066,
ord18,aa30,Rose,2,Fill,50,80,,20230901-032014.066,
ord31,aa43,Rose,1,Pfill,50,80,,20230901-032014.067,
ord15,aa27,Rose,2,Fill,50,80,,20230901-032014.067,
ord31,aa43,Rose,1,Pfill,100,80,,20230901-032014.067,
ord23,aa35,Rose,2,Fill,100,80,,20230901-032014.067,
ord31,aa43,Rose,1,Fill,100,80,,20230901-032014.068,
ord25,aa37,Rose,2,Fill,100,80,,20230901-032014.068,
ord32,aa44,Rose,2,Fill,50,1,,20230901-032014.068,
ord21,aa33,Rose,1,Pfill,50,1,,20230901-032014.068,
ord33,aa45,Rose,1,Fill,100,86,,20230901-032014.068,
ord28,aa40,Rose,2,Fill,100,86,,20230901-032014.068,
ord34,aa46,Rose,1,New,300,1,,20230901-032014.068,
ord35,aa47,Rose,1,New,300,50,,20230901-032014.068,
ord36,aa48,Rose,2,Fill,50,50,,20230901-032014.068,
ord35,aa47,Rose,1,Pfill,50,50,,20230901-032014.068,
ord37,aa49,Rose,1,New,100,1,,20230901-032014.068,
ord38,aa50,Rose,1,New,300,53,,20230901-032014.068,
ord39,aa51,Rose,2,Fill,50,53,,20230901-032014.068,
ord38,aa50,Rose,1,Pfill,50,53,,20230901-032014.068,
ord40,aa52,Rose,2,Fill,40,53,,20230901-032014.068,
ord38,aa50,Rose,1,Pfill,40,53,,20230901-032014.068,
ord41,aa53,Lotus,3,Rejected,45,53,Invalid order type,20230901-032014.068,
ord42,aa54,Rose,1,New,300,1,,20230901-032014.069,
ord43,aa55,Rose,2,Fill,100,53,,20230901-032014.069,
ord38,aa50,Rose,1,Pfill,100,53,,20230901-032014.069,
ord44,aa56,Rose,2,New,100,78,,20230901-032014.069,
ord45,aa57,Rose,2,Fill,100,53,,20230901-032014.069,
ord38,aa50,Rose,1,Pfill,100,53,,20230901-032014.069,
ord46,aa58,Rose,2,New,100,96,,20230901-032014.069,
ord47,aa59,Rose,2,Pfill,10,53,,20230901-032014.069,
ord38,aa50,Rose,1,Fill,10,53,,20230901-032014.069,
ord47,aa59,Rose,2,Fill,90,50,,20230901-032014.069,
ord35,aa47,Rose,1,Pfill,90,50,,20230901-032014.069,
ord48,aa60,Rose,2,New,100,52,,20230901-032014.069,
ord49,aa61,Rose,2,Fill,100,50,,20230901-032014.069,
ord35,aa47,Rose,1,Pfill,100,50,,20230901-032014.069,
ord50,aa62,Lotus,2,Fill,100,86,,20230901-032014.069,
ord17,aa29,Lotus,1,Pfill,100,86,,20230901-032014.069,
ord51,aa63,Rose,2,New,100,52,,20230901-032014.070,
ord52,aa64,Rose,1,Pfill,100,100,,20230901-032014.070,
ord48,aa60,Rose,2,Fill,100,100,,20230901-032014.070,
ord52,aa64,Rose,1,Pfill,100,100,,20230901-032014.070,
ord51,aa63,Rose,2,Fill,100,100,,20230901-032014.070,
ord52,aa64,Rose,1,Fill,100,100,,20230901-032014.070,
ord7,aa19,Rose,2,Fill,100,100,,20230901-032014.070,
ord53,aa65,Rose,2,New,50,52,,20230901-032014.070,
ord54,aa66,Rose,1,Pfill,50,78,,20230901-032014.071,
ord53,aa65,Rose,2,Fill,50,78,,20230901-032014.071,
ord54,aa66,Rose,1,Fill,50,78,,20230901-032014.071,
ord44,aa56,Rose,2,Pfill,50,78,,20230901-032014.071,
ord55,aa67,Rose,1,New,300,65,,20230901-032014.071,
ord56,aa68,Rose,1,Pfill,50,221,,20230901-032014.071,
ord44,aa56,Rose,2,Fill,50,221,,20230901-032014.071,
ord56,aa68,Rose,1,Pfill,100,221,,20230901-032014.072,
ord22,aa34,Rose,2,Fill,100,221,,20230901-032014.072,
ord56,aa68,Rose,1,Pfill,100,221,,20230901-032014.072,
ord4,aa16,Rose,2,Fill,100,221,,20230901-032014.072,
ord56,aa68,Rose,1,Fill,50,221,,20230901-032014.072,
ord26,aa38,Rose,2,Pfill,50,221,,20230901-032014.072,
ord57,aa69,Rose,2,Fill,50,65,,20230901-032014.073,
ord55,aa67,Rose,1,Pfill,50,65,,20230901-032014.073,
ord58,aa70,Rose,1,New,100,70,,20230901-032014.073,
ord59,aa71,Rose,1,New,300,60,,20230901-032014.073,
ord60,aa72,Rose,2,Fill,50,70,,20230901-032014.073,
ord58,aa70,Rose,1,Pfill,50,70,,20230901-032014.073,
ord61,aa73,Rose,2,Fill,40,70,,20230901-032014.073,
ord58,aa70,Rose,1,Pfill,40,70,,20230901-032014.073,
ord62,aa74,Lotus,3,Rejected,45,1,Invalid order type,20230901-032014.074,
ord63,aa75,Rose,1,New,300,50,,20230901-032014.074,
ord64,aa76,Rose,2,Pfill,10,70,,20230901-032014.074,
ord58,aa70,Rose,1,Fill,10,70,,20230901-032014.074,
ord64,aa76,Rose,2,Fill,90,65,,20230901-032014.074,
ord55,aa67,Rose,1,Pfill,90,65,,20230901-032014.074,
ord65,aa77,Rose,2,Fill,100,65,,20230901-032014.074,
ord55,aa67,Rose,1,Pfill,100,65,,20230901-032014.074,
ord66,aa78,Rose,2,Pfill,60,65,,20230901-032014.075,
ord55,aa67,Rose,1,Fill,60,65,,20230901-032014.075,
ord66,aa78,Rose,2,Fill,40,60,,20230901-032014.075,
ord59,aa71,Rose,1,Pfill,40,60,,20230901-032014.075,
ord67,aa79,Rose,2,Fill,100,60,,20230901-032014.075,
ord59,aa71,Rose,1,Pfill,100,60,,20230901-032014.075,
ord68,aa80,Rose,2,Fill,100,60,,20230901-032014.075,
ord59,aa71,Rose,1,Pfill,100,60,,20230901-032014.075,
ord69,aa81,Rose,2,Pfill,60,60,,20230901-032014.075,
ord59,aa71,Rose,1,Fill,60,60,,20230901-032014.075,
ord69,aa81,Rose,2,Fill,40,50,,20230901-032014.076,
ord35,aa47,Rose,1,Pfill,40,50,,20230901-032014.076,
ord70,aa82,Rose,2,Pfill,20,50,,20230901-032014.076,
ord35,aa47,Rose,1,Fill,20,50,,20230901-032014.076,
ord70,aa82,Rose,2,Fill,80,50,,20230901-032014.076,
ord63,aa75,Rose,1,Pfill,80,50,,20230901-032014.076,
ord71,aa83,Rose,2,Fill,100,50,,20230901-032014.076,
ord63,aa75,Rose,1,Pfill,100,50,,20230901-032014.076,
ord72,aa84,Rose,2,Fill,100,50,,20230901-032014.076,
ord63,aa75,Rose,1,Pfill,100,50,,20230901-032014.076,
ord73,aa85,Rose,1,New,300,25,,20230901-032014.077,
ord74,aa86,Rose,2,Pfill,20,50,,20230901-032014.077,
ord63,aa75,Rose,1,Fill,20,50,,20230901-032014.077,
ord74,aa86,Rose,2,Fill,30,25,,20230901-032014.077,
ord73,aa85,Rose,1,Pfill,30,25,,20230901-032014.077,
ord75,aa87,Lotus,1,New,100,1,,20230901-032014.077,
ord76,aa88,Rose,1,New,300,50,,20230901-032014.077,
ord77,aa89,Rose,1,New,300,90,,20230901-032014.077,
ord78,aa90,Rose,2,Fill,50,90,,20230901-032014.078,
ord77,aa89,Rose,1,Pfill,50,90,,20230901-032014.078,
ord79,aa91,Rose,1,New,100,40,,20230901-032014.078,
ord80,aa92,Rose,1,New,300,1,,20230901-032014.078,
ord81,aa93,Rose,2,Fill,50,90,,20230901-032014.078,
ord77,aa89,Rose,1,Pfill,50,90,,20230901-032014.078,
ord82,aa94,Rose,2,Fill,40,90,,20230901-032014.078,
ord77,aa89,Rose,1,Pfill,40,90,,20230901-032014.078,
ord83,aa95,Lotus,3,Rejected,45,56,Invalid order type,20230901-032014.078,
ord84,aa96,Rose,1,New,300,80,,20230901-032014.079,
ord85,aa97,Rose,2,Fill,100,90,,20230901-032014.079,
ord77,aa89,Rose,1,Pfill,100,90,,20230901-032014.079,
ord86,aa98,Rose,2,Pfill,60,90,,20230901-032014.079,
ord77,aa89,Rose,1,Fill,60,90,,20230901-032014.079,
ord86,aa98,Rose,2,Fill,40,80,,20230901-032014.079,
ord84,aa96,Rose,1,Pfill,40,80,,20230901-032014.079,
ord87,aa99,Rose,2,Fill,100,80,,20230901-032014.079,
ord84,aa96,Rose,1,Pfill,100,80,,20230901-032014.079,
ord88,aa100,Rose,2,Fill,100,80,,20230901-032014.080,
ord84,aa96,Rose,1,Pfill,100,80,,20230901-032014.080,
ord89,aa101,Rose,2,Pfill,60,80,,20230901-032014.080,
ord84,aa96,Rose,1,Fill,60,80,,20230901-032014.080,
ord90,aa102,Rose,2,Fill,100,50,,20230901-032014.080,
ord76,aa88,Rose,1,Pfill,100,50,,20230901-032014.080,
ord91,aa103,Rose,2,New,100,90,,20230901-032014.080,
ord92,aa104,Rose,2,New,100,70,,20230901-032014.080,
ord93,aa105,Lotus,2,Fill,100,86,,20230901-032014.080,
ord17,aa29,Lotus,1,Pfill,100,86,,20230901-032014.080,
ord94,aa106,Rose,1,New,300,1,,20230901-032014.081,
ord95,aa107,Rose,2,Fill,50,50,,20230901-032014.081,
ord76,aa88,Rose,1,Pfill,50,50,,20230901-032014.081,
ord96,aa108,Rose,1,New,100,50,,20230901-032014.081,
ord97,aa109,Rose,1,Pfill,40,96,,20230901-032014.081,
ord89,aa101,Rose,2,Fill,40,96,,20230901-032014.081,
ord97,aa109,Rose,1,Pfill,100,96,,20230901-032014.082,
ord92,aa104,Rose,2,Fill,100,96,,20230901-032014.082,
ord97,aa109,Rose,1,Pfill,100,96,,20230901-032014.083,
ord91,aa103,Rose,2,Fill,100,96,,20230901-032014.083,
ord97,aa109,Rose,1,Pfill,50,96,,20230901-032014.083,
ord26,aa38,Rose,2,Fill,50,96,,20230901-032014.083,
ord97,aa109,Rose,1,Fill,10,96,,20230901-032014.084,
ord46,aa58,Rose,2,Pfill,10,96,,20230901-032014.084,
ord98,aa110,Rose,1,New,300,1,,20230901-032014.084,
ord99,aa111,Rose,2,New,50,82,,20230901-032014.084,
ord100,aa112,Rose,1,Pfill,50,83,,20230901-032014.085,
ord99,aa111,Rose,2,Fill,50,83,,20230901-032014.085,
ord101,aa113,Rose,1,New,300,40,,20230901-032014.085,
