execution_rep.csv
Order ID, Client Order, Instrument, Side, Exec Status, Quantity, Price, Reason, Transaction time
ord1,aa13,Rose,1,New,100,55.00,,20230827-202703.223,
ord2,aa14,Rose,1,New,100,65.00,,20230827-202703.223,
ord3,aa15,Rose,2,Pfill,100,65.00,,20230827-202703.223,
ord2,aa14,Rose,1,Fill,100,65.00,,20230827-202703.223,
ord3,aa15,Rose,2,Pfill,100,55.00,,20230827-202703.223,
ord1,aa13,Rose,1,Fill,100,55.00,,20230827-202703.223,
ord4,aa16,Rose,1,Fill,100,2.00,,20230827-202703.223,
ord3,aa15,Rose,2,Fill,100,2.00,,20230827-202703.223,

Transaction Time only for execution: 671 microseconds.
